event_id,time_utc,mag,status,place,lon,lat,depth_km,cell_id,Z,x_m,y_m,is_post,t_sec_pre0,t_sec_post0
us10001s2q,2015-03-27T08:07:44.500Z,2.5,reviewed,"5 km NE of Hunter, Oklahoma",-97.626,36.6,6.868,1313,0,-144108.831505871,1507173.77941688,1,38909264.5,806864.5
us10001r54,2015-03-27T10:32:16.100Z,3,reviewed,"8 km WSW of Glencoe, Oklahoma",-97.0065,36.194,5.212,1186,1,-89688.2245392382,1460938.69198172,1,38917936.0999999,815536.099999905
us10001r7f,2015-03-27T12:56:45.600Z,2.8,reviewed,"7 km SSW of Guthrie, Oklahoma",-97.4532,35.8131,5.484,1098,1,-130142.819315884,1418804.47966854,1,38926605.5999999,824205.599999905
us10001r8i,2015-03-27T15:23:46Z,2.7,reviewed,Oklahoma,-97.5749,36.2633,5,1227,1,-140205.368142373,1469387.17309429,1,38935426,833026
us10001rch,2015-03-27T16:12:59.700Z,2.5,reviewed,"4 km SSE of Covington, Oklahoma",-97.5652,36.2697,4.355,1227,1,-139330.099042937,1470089.63238469,1,38938379.7000001,835979.700000048
us10001raa,2015-03-27T16:19:21.300Z,2.7,reviewed,"8 km NW of Morrison, Oklahoma",-97.0846,36.3439,5,1229,1,-96455.7369961257,1477803.53033547,1,38938761.3,836361.299999952
us10001r91,2015-03-27T16:39:03.700Z,3.3,reviewed,"13 km ESE of Orlando, Oklahoma",-97.2342,36.1138,4.778,1185,1,-110093.958390031,1452196.64051602,1,38939943.7,837543.700000048
us10001rb6,2015-03-27T20:20:33.680Z,3.1,reviewed,"5 km SW of Bluff City, Kansas",-97.9129,37.0406,7.48,1397,0,-168539.397195073,1557001.70086371,1,38953233.6800001,850833.680000067
us10001rbx,2015-03-27T20:22:40.300Z,2.9,reviewed,"6 km N of Quinlan, Oklahoma",-99.034,36.5124,7.03,1263,1,-269177.482277456,1500424.84756935,1,38953360.3,850960.299999952
us10001s47,2015-03-27T21:47:02.300Z,2.5,reviewed,"6 km SSE of Warwick, Oklahoma",-96.9694,35.639,5.602,1057,1,-87016.3195544983,1398761.13405467,1,38958422.3,856022.299999953
us10001s4r,2015-03-27T22:54:18.700Z,2.8,reviewed,"4 km NW of Hunter, Oklahoma",-97.6953,36.5977,6.343,1312,1,-150254.697229016,1507023.48591008,1,38962458.7,860058.700000048
us10001s4v,2015-03-28T09:26:44.400Z,2.7,reviewed,"7 km ESE of Marshall, Oklahoma",-97.5592,36.1207,5.333,1184,1,-139069.824188047,1453395.35766822,1,39000404.4000001,898004.400000096
us10001rfw,2015-03-28T10:12:06.400Z,3.1,reviewed,"5 km NNE of Medford, Oklahoma",-97.6991,36.8513,6.477,1355,1,-150083.508052365,1535436.7584565,1,39003126.4000001,900726.400000095
us10001rg3,2015-03-28T10:43:18.400Z,2.9,reviewed,"3 km W of Boley, Oklahoma",-96.5233,35.4916,5,1016,1,-47064.4514843924,1381946.30910811,1,39004998.4000001,902598.400000096
