cell_id,Z,area_km2,centroid_x_m,centroid_y_m,centroid_lon,centroid_lat
1252,0,400,-495037.049347754,1494132.63836556,-101.571089613507,36.3650160206088
1253,0,400,-475037.049347754,1494132.63836556,-101.346496515222,36.3752666790614
1254,0,400,-455037.049347754,1494132.63836556,-101.12184361507,36.3850959087752
1255,0,400,-435037.049347754,1494132.63836556,-100.897133400959,36.394503553005
1256,0,400,-415037.049347754,1494132.63836556,-100.672368364625,36.4034894615964
1257,0,400,-395037.049347754,1494132.63836556,-100.447551001478,36.4120534910059
1258,0,400,-375037.049347754,1494132.63836556,-100.22268381043,36.4201955043198
1259,0,400,-355037.049347754,1494132.63836556,-99.9977692937343,36.427915371272
1260,0,400,-335037.049347754,1494132.63836556,-99.7728099568163,36.4352129682607
1261,0,400,-315037.049347754,1494132.63836556,-99.5478083081106,36.4420881783654
1262,0,400,-295037.049347754,1494132.63836556,-99.3227668588924,36.4485408913615
1263,1,400,-275037.049347754,1494132.63836556,-99.0976881231111,36.4545710037351
1264,0,400,-255037.049347754,1494132.63836556,-98.8725746172222,36.4601784186964
1265,0,400,-235037.049347754,1494132.63836556,-98.6474288600197,36.4653630461929
1266,0,400,-215037.049347754,1494132.63836556,-98.4222533724672,36.4701248029204
1267,0,400,-195037.049347754,1494132.63836556,-98.1970506775298,36.474463612335
1268,1,400,-175037.049347754,1494132.63836556,-97.9718233000042,36.4783794046622
1269,0,400,-155037.049347754,1494132.63836556,-97.74657376635,36.4818721169066
1270,0,400,-135037.049347754,1494132.63836556,-97.5213046045193,36.4849416928604
1271,1,400,-115037.049347754,1494132.63836556,-97.2960183437875,36.4875880831102
1272,1,400,-95037.0493477536,1494132.63836556,-97.0707175145822,36.489811245044
1273,0,400,-75037.0493477536,1494132.63836556,-96.8454046483138,36.4916111428567
1274,0,400,-55037.0493477537,1494132.63836556,-96.6200822772041,36.4929877475544
1275,0,400,-35037.0493477536,1494132.63836556,-96.3947529341162,36.4939410369591
1276,0,400,-15037.0493477536,1494132.63836556,-96.1694191523836,36.4944709957109
1277,0,400,4962.95065224637,1494132.63836556,-95.9440834656388,36.49457761527
1278,0,400,24962.9506522464,1494132.63836556,-95.7187484076434,36.4942608939186
1279,0,400,44962.9506522464,1494132.63836556,-95.4934165121162,36.4935208367602
1280,0,400,64962.9506522464,1494132.63836556,-95.2680903125628,36.4923574557196
